,,,,,,,,,,,,,,,,,,,,,
Location,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
Taiwan*,   1 011,   1 042,976,   1 213,   1 502,   1 618,   1 622,   1 927,   2 032,   1 755,   1 807,   1 853,   1 684,   1 417,903,586,438,272,122,33,4
            Dem. People's Republic of Korea,   1 746,   1 684,   1 685,   1 876,   1 941,   1 985,   1 851,   1 791,   1 556,   2 158,   2 140,   1 482,   1 473,662,745,559,309,106,25,4,0
            Japan,   4 778,   5 401,   5 565,   5 703,   5 997,   6 150,   6 790,   7 666,   8 468,   10 005,   8 659,   7 883,   7 496,   8 379,   9 127,   7 058,   5 339,   3 630,   1 786,518,79
            Mongolia,375,362,282,219,228,272,309,255,223,200,168,146,98,61,36,24,13,6,2,0,0
"Korea, South",   1 897,   2 257,   2 277,   2 476,   3 216,   3 500,   3 282,   3 797,   3 925,   4 294,   4 316,   4 161,   3 775,   2 679,   1 998,   1 563,   1 084,540,185,43,4
         South-Eastern Asia,   55 951,   57 078,   55 218,   55 023,   54 791,   53 946,   50 576,   50 355,   46 030,   43 161,   38 829,   33 202,   26 889,   19 256,   12 283,   7 841,   4 825,   2 297,827,204,38
            Brunei,32,35,31,34,35,34,38,38,36,32,28,22,17,11,6,3,2,1,0,0,0
            Cambodia,   1 779,   1 752,   1 640,   1 460,   1 528,   1 589,   1 241,   1 648,627,802,733,655,454,363,221,131,63,26,6,1,0
            Indonesia,   23 658,   24 298,   22 985,   23 318,   22 653,   20 918,   19 973,   21 193,   19 681,   18 166,   15 955,   13 200,   10 395,   7 136,   4 618,   2 957,   1 632,593,169,23,2
            Laos,797,770,758,709,692,671,591,496,417,356,289,238,184,134,85,52,27,10,2,0,0
            Malaysia,   2 635,   2 508,   2 446,   2 670,   2 863,   2 907,   2 930,   2 722,   2 096,   1 895,   1 674,   1 472,   1 224,928,658,367,230,103,31,7,1
            Myanmar,   4 509,   4 513,   4 845,   5 071,   4 759,   4 404,   4 128,   3 945,   3 760,   3 460,   3 051,   2 522,   2 050,   1 554,891,532,280,108,25,3,0
            Philippines,   10 616,   11 398,   10 907,   10 463,   10 104,   9 480,   8 247,   7 255,   6 552,   5 759,   5 117,   4 250,   3 393,   2 486,   1 661,978,581,241,76,15,2
            Singapore,258,221,241,265,398,436,435,462,473,492,466,480,444,356,190,99,73,40,17,4,1
            Thailand,   3 596,   3 844,   4 114,   4 379,   4 808,   4 822,   4 467,   4 763,   5 309,   5 605,   5 599,   5 082,   4 368,   3 257,   2 282,   1 584,   1 071,564,225,53,9
